speaker ID,speakerNameSpeech,speakerNameVote
215,Voinovich (OH),"VOINOVICH, George Victor"
216,Walsh(MT),"WALSH, John E."
217,Warner (VA),"WARNER, John William"
218,Warner (VA),"WARNER, John William"
219,Warren (MA),"WARREN, Elizabeth"
220,Webb (VA),"WEBB, James H. (Jim)"
221,Wellstone (MN),"WELLSTONE, Paul David"
222,Whitehouse (RI),"WHITEHOUSE, Sheldon"
223,Wicker (MS),"WICKER, Roger F."
224,Wyden (OR),"WYDEN, Ronald Lee"
