,speaker,congress,first.name,last.name,state,party,speaker.name,speakerID,stateName,retiring,running,appointeeRunning,specialElection,female,speakerNameSpeech,speakerNameVote,bioname,nokken_poole_dim1,nokken_poole_dim2
79,mr roberts,113,Pat,Roberts,KS,R,Roberts (KS),181,Kansas,0,1,0,0,0,Roberts (KS),"ROBERTS, Charles Patrick (Pat)","ROBERTS, Charles Patrick (Pat)",0.626,0.341
80,mr rockefeller,113,John D. IV,Rockefeller,WV,D,Rockefeller (WV),182,West Virginia,1,0,0,0,0,Rockefeller (WV),"ROCKEFELLER, John Davison IV (Jay)","ROCKEFELLER, John Davison IV (Jay)",-0.336,0.02
81,mr sanders,113,Bernie,Sanders,VT,I,Sanders (VT),186,Vermont,0,0,0,0,0,Sanders (VT),"SANDERS, Bernard","SANDERS, Bernard",-0.944,0.329
82,mr schatz,113,Brian E.,Schatz,HI,D,Schatz (HI),189,Hawaii,0,0,1,0,0,Schatz (HI),"SCHATZ, Brian Emanuel","SCHATZ, Brian Emanuel",-0.478,-0.025
83,mr scott,113,Tim,Scott,SC,R,Scott (SC),191,South Carolina,0,0,1,0,0,Scott (SC),"SCOTT, Tim","SCOTT, Tim",0.681,0.009
84,mr sessions,113,Jeff,Sessions,AL,R,Sessions (AL),192,Alabama,0,1,0,0,0,Sessions (AL),"SESSIONS, Jefferson Beauregard III (Jeff)","SESSIONS, Jefferson Beauregard III (Jeff)",0.619,0.082
85,mrs shaheen,113,Jeanne,Shaheen,NH,D,Shaheen (NH),193,New Hampshire,0,1,0,0,1,Shaheen (NH),"SHAHEEN, Jeanne","SHAHEEN, Jeanne",-0.26,-0.507
86,mr shelby,113,Richard,Shelby,AL,R,Shelby (AL),194,Alabama,0,0,0,0,0,Shelby (AL),"SHELBY, Richard C.","SHELBY, Richard C.",0.515,0.602
87,ms stabenow,113,Debbie,Stabenow,MI,D,Stabenow (MI),201,Michigan,0,0,0,0,1,Stabenow (MI),"STABENOW, Deborah Ann","STABENOW, Deborah Ann",-0.419,0.093
88,mr tester,113,John,Tester,MT,D,Tester (MT),205,Montana,0,0,0,0,0,Tester (MT),"TESTER, Jon","TESTER, Jon",-0.171,-0.051
89,mr thune,113,John,Thune,SD,R,Thune (SD),208,South Dakota,0,0,0,0,0,Thune (SD),"THUNE, John","THUNE, John",0.467,0.183
90,mr toomey,113,Pat,Toomey,PA,R,Toomey (PA),210,Pennsylvania,0,0,0,0,0,Toomey(PA),"TOOMEY, Patrick Joseph","TOOMEY, Patrick Joseph",0.525,-0.387
91,mr udall of colorado,113,Mark,Udall,CO,D,Udall (CO),212,Colorado,0,1,0,0,0,Udall (CO),"UDALL, Mark","UDALL, Mark",-0.248,-0.069
92,mr udall of new mexico,113,Tom,Udall,NM,D,Udall (NM),213,New Mexico,0,1,0,0,0,Udall (NM),"UDALL, Thomas (Tom)","UDALL, Thomas (Tom)",-0.398,0.155
93,mr walsh,113,John,Walsh,MT,D,Walsh (MT),216,Montana,0,0,0,0,0,Walsh(MT),"WALSH, John E.","WALSH, John E.",-0.248,0.418
94,ms warren,113,Elizabeth,Warren,MA,D,Warren (MA),219,Massachusetts,0,0,0,0,1,Warren (MA),"WARREN, Elizabeth","WARREN, Elizabeth",-0.718,-0.066
95,mr whitehouse,113,Sheldon,Whitehouse,RI,D,Whitehouse (RI),222,Rhode Island,0,0,0,0,0,Whitehouse (RI),"WHITEHOUSE, Sheldon","WHITEHOUSE, Sheldon",-0.419,-0.456
96,mr wicker,113,Roger F.,Wicker,MS,R,Wicker (MS),223,Mississippi,0,0,0,0,0,Wicker (MS),"WICKER, Roger F.","WICKER, Roger F.",0.349,0.237
97,mr wyden,113,Ron,Wyden,OR,D,Wyden (OR),224,Oregon,0,0,0,0,0,Wyden (OR),"WYDEN, Ronald Lee","WYDEN, Ronald Lee",-0.375,-0.729
