,speaker,congress,first.name,last.name,state,party,speaker.name,speakerID,stateName,retiring,running,appointeeRunning,specialElection,female,speakerNameSpeech,speakerNameVote,bioname,nokken_poole_dim1,nokken_poole_dim2
67,mr merkley,112,Jeff,Merkley,OR,D,Merkley (OR),155,Oregon,0,0,0,0,0,Merkley (OR),"MERKLEY, Jeff","MERKLEY, Jeff",-0.399,-0.497
68,ms mikulski,112,Barbara,Mikulski,MD,D,Mikulski (MD),156,Maryland,0,0,0,0,1,Mikulski (MD),"MIKULSKI, Barbara Ann","MIKULSKI, Barbara Ann",-0.407,-0.08
69,mr moran,112,Jerry,Moran,KS,R,Moran (KS),158,Kansas,0,0,0,0,0,Moran (KS),"MORAN, Jerry","MORAN, Jerry",0.406,0.311
70,mrs murray,112,Patty,Murray,WA,D,Murray (WA),164,Washington,0,0,0,0,1,Murray (WA),"MURRAY, Patty","MURRAY, Patty",-0.405,-0.479
71,mr nelson of nebraska,112,Ben,Nelson,NE,D,Nelson (NE),165,Nebraska,1,0,0,0,0,Nelson (NE),"NELSON, Earl Benjamin (Ben)","NELSON, Earl Benjamin (Ben)",-0.062,0.548
72,mr nelson of florida,112,Bill,Nelson,FL,D,Nelson (FL),166,Florida,0,1,0,0,0,Nelson (FL),"NELSON, Clarence William (Bill)","NELSON, Clarence William (Bill)",-0.201,0.063
73,mr paul,112,Rand,Paul,KY,R,Paul (KY),171,Kentucky,0,0,0,0,0,Paul (KY),"PAUL, Rand","PAUL, Rand",0.933,-0.359
74,mr portman,112,Rob,Portman,OH,R,Portman (OH),173,Ohio,0,0,0,0,0,Portman (OH),"PORTMAN, Robert Jones (Rob)","PORTMAN, Robert Jones (Rob)",0.375,-0.168
75,mr reed,112,Jack,Reed,RI,D,Reed (RI),177,Rhode Island,0,0,0,0,0,Reed (RI),"REED, John F. (Jack)","REED, John F. (Jack)",-0.41,-0.068
76,mr reid,112,Harry,Reid,NV,D,Reid (NV),178,Nevada,0,0,0,0,0,Reid (NV),"REID, Harry","REID, Harry",-0.265,0.253
77,mr risch,112,Jim,Risch,ID,R,Risch (ID),179,Idaho,0,0,0,0,0,Risch (ID),"RISCH, James","RISCH, James",0.65,0.424
